,Number.of.Bags,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Moisture,Category.One.Defects,Category.Two.Defects,altitude_mean_meters,Species_Robusta,Processing.Method_Other,Processing.Method_Pulped Natural / Honey,Processing.Method_Semi-Washed / Semi-Pulped,Processing.Method_Washed / Wet,Color_Green,Color_Other,categoria_altitud_Alta (Robusta),categoria_altitud_Baja (Arabica),categoria_altitud_Baja (Robusta),categoria_altitud_Media (Arabica),categoria_altitud_Premium (Arabica)
DecisionTree,0.013260866874979847,0.03100932696047045,0.570756327195673,0.051849423933602014,0.01813915941876687,0.018534262121434164,0.07992977669786996,0.14475100882563816,0.0061935448712666635,0.014629701367267645,0.008713593799504335,0.016712752500281855,0.007661640470132147,0.011640312668984522,3.840076362846476e-05,0.0004203677652246059,0.001636005808220912,0.00028006295899921443,1.7501297513863377e-06,0.002374079904440309,0.00022274066474534763,0.0,0.0012348351549118616,1.0059144206177383e-05
RandomForest,0.01351866845912425,0.024414605042881364,0.48701918194747684,0.11283822472861045,0.03058967032950819,0.021270179647683612,0.1467435781517843,0.10438181219371234,0.007791385144343319,0.009871931864403008,0.01214872234699643,0.012751165138574636,0.006322194491109901,0.0014849790763722557,2.9714486501131187e-05,0.0003538698117368203,0.0019403538766730125,0.0010182829041128862,3.9653582026866726e-05,0.002630488040309587,0.0006184220155638886,0.0004964417529021974,0.0011760613747471538,0.0005504135928456058
GradientBoosting,0.018672726231327784,0.028433943550012476,0.39618984928379625,0.0997501058885061,0.03934793906627407,0.013403374703392817,0.1707906287157805,0.18566529742938964,0.0026771677929800933,0.010249513937473365,0.008720440377394546,0.007923835062622349,0.014659735410956313,6.173980064906821e-06,0.0,0.00017481251931532706,0.0008870416148785082,5.086004438428608e-05,0.0,0.0012308593356304184,0.00034298120311242403,0.0,0.0008227138527077297,0.0
GradientBoosting_Optimized,0.018672726231327784,0.028433943550012476,0.39618984928379625,0.0997501058885061,0.03934793906627407,0.013403374703392817,0.1707906287157805,0.18566529742938964,0.0026771677929800933,0.010249513937473365,0.008720440377394546,0.007923835062622349,0.014659735410956313,6.173980064906821e-06,0.0,0.00017481251931532706,0.0008870416148785082,5.086004438428608e-05,0.0,0.0012308593356304184,0.00034298120311242403,0.0,0.0008227138527077297,0.0
RandomForest_Optimized,0.011707999857732094,0.023998856473269086,0.5031905702090074,0.1103936462905452,0.031093974636627993,0.019174626855300046,0.14480357379934156,0.10335604427369378,0.005545966266864311,0.009398747234842986,0.011314804171558787,0.011508434267842725,0.006219636423115697,0.0009781475572230107,1.8363371891996026e-05,0.00036559808259244435,0.0013932442527796376,0.0007163610600312596,7.914204767325468e-05,0.0028936495348385514,0.00034708502279807936,0.0004860496614130999,0.000627988969007347,0.00038748968000966823
