Puntaje_Real,Puntaje_Predicho,Error_Absoluto
82.75,81.55291835706561,1.1970816429343927
83.58,81.83642833518063,1.7435716648193704
82.25,82.63217692220647,0.3821769222064688
80.83,82.21234449103997,1.382344491039973
79.67,82.43667839439094,2.7666783943909365
81.08,82.41624018693578,1.3362401869357825
83.08,83.49044349368705,0.4104434936870547
82.67,82.84872519642381,0.17872519642381235
81.67,82.10476134174719,0.4347613417471905
85.33,83.84236877667962,1.4876312233203777
82.25,82.1879135816577,0.06208641834230377
79.92,82.17937440841602,2.259374408416022
82.33,82.65623906661703,0.3262390666170347
83.17,82.44429634237684,0.725703657623157
81.25,82.23134956742753,0.9813495674275288
86.08,84.6121508759227,1.4678491240773042
85.5,82.81709191762151,2.682908082378489
82.33,82.10492444284048,0.22507555715951355
82.42,81.9180534784693,0.501946521530698
83.5,82.97889349570248,0.5211065042975207
83.25,81.9235683808163,1.326431619183694
81.17,82.83186135543693,1.6618613554369261
80.67,81.82138179061901,1.1513817906190127
85.0,84.44246228601543,0.5575377139845727
83.08,83.64915331025138,0.5691533102513802
83.92,82.12434208960569,1.7956579103943113
78.58,82.19561862396938,3.6156186239693824
84.17,82.24791931629622,1.9220806837037827
81.83,82.70830009032487,0.8783000903248706
83.58,83.94196899264338,0.36196899264338356
76.5,81.57934906559353,5.079349065593533
83.42,82.66713099838302,0.7528690016169861
82.08,83.8586087920595,1.7786087920595008
81.83,81.94912671479956,0.11912671479956316
82.67,82.52242135408272,0.1475786459172781
85.58,83.48342805408427,2.096571945915727
81.42,83.72155011501161,2.301550115011608
82.17,82.58560374800088,0.4156037480008763
83.17,83.26388880658766,0.09388880658765686
83.0,83.57984940359765,0.5798494035976489
85.33,83.30645056123801,2.0235494387619894
81.58,82.9561045506741,1.3761045506740999
83.75,82.11069279518013,1.6393072048198718
82.5,82.33003014087349,0.16996985912651041
79.5,81.77701837495415,2.277018374954153
80.08,81.20279125348868,1.1227912534886855
80.67,82.50830722928553,1.8383072292855331
84.25,82.60885609136676,1.6411439086332393
80.83,82.19957264671469,1.369572646714687
81.5,82.3829265097754,0.8829265097754018
84.25,82.53052100205609,1.7194789979439093
82.83,82.83107250297158,0.0010725029715814571
79.83,80.58987155685898,0.7598715568589824
80.42,81.3243419232889,0.9043419232888965
83.0,83.1156314140918,0.11563141409179423
87.08,84.99534250646516,2.0846574935348343
81.08,81.9431049884153,0.8631049884153015
75.17,81.41864880409905,6.248648804099048
82.5,81.72384831428415,0.7761516857158455
86.0,83.37464390707046,2.625356092929536
82.67,83.04636153310362,0.3763615331036192
86.08,82.89906598673474,3.180934013265258
84.25,83.78144629523632,0.4685537047636785
79.33,83.10505453866932,3.7750545386693233
82.0,82.68418722448241,0.6841872244824145
84.33,82.84920307937985,1.4807969206201506
81.92,81.4981053738713,0.42189462612870443
82.0,82.46740805488416,0.46740805488416015
83.5,81.34637438566321,2.1536256143367893
82.58,81.4134384686054,1.166561531394592
82.08,83.71506735253743,1.6350673525374333
79.92,81.80281199895003,1.8828119989500323
83.92,82.45995241222266,1.4600475877773391
82.92,82.62950298128008,0.2904970187199183
81.5,81.86258390397624,0.36258390397624396
81.42,82.92515468720612,1.5051546872061152
80.17,81.53390604488506,1.3639060448850557
80.25,82.66812242757555,2.418122427575554
83.08,82.00495834429609,1.075041655703913
81.83,83.62153545258677,1.7915354525867713
81.17,81.37841911633309,0.20841911633308996
83.25,80.51033543162546,2.739664568374536
81.0,82.73302050732781,1.733020507327808
81.83,82.25220756981413,0.4222075698141339
86.42,82.45078558900106,3.9692144109989442
82.33,81.87651311039893,0.4534868896010664
74.92,79.90954662639136,4.989546626391359
82.67,84.03299087498246,1.362990874982458
85.33,86.53054386939431,1.2005438693943091
82.0,83.57773025971031,1.5777302597103073
82.42,83.66098715065358,1.2409871506535808
79.67,82.06553377627104,2.395533776271037
82.75,83.67202446112474,0.9220244611247352
83.33,83.1156314140918,0.21436858590820407
83.83,82.43424402255732,1.3957559774426755
84.08,82.28673214199735,1.7932678580026504
81.83,82.0288109019924,0.19881090199240248
84.0,83.0191513088305,0.9808486911694985
83.25,83.35490013900241,0.10490013900241024
84.0,82.01009228786009,1.9899077121399102
84.83,82.109308280946,2.7206917190540025
81.0,82.5897063538719,1.5897063538719038
84.0,82.85602428309038,1.1439757169096225
83.25,83.63054449510932,0.3805444951093193
84.13,83.23484526560556,0.8951547343944384
81.75,81.9305720523721,0.18057205237209928
82.67,83.48760834277992,0.8176083427799199
83.33,83.59514163195873,0.265141631958727
84.25,82.96711632334686,1.2828836766531424
83.33,81.99920519443428,1.3307948055657164
84.0,81.90276947961584,2.0972305203841586
82.83,81.21209229176841,1.6179077082315843
82.33,83.64853651086844,1.3185365108684408
85.83,82.97510154884972,2.8548984511502766
76.33,81.52893151831661,5.198931518316613
82.33,81.63285033425021,0.6971496657497909
82.75,82.97144516316492,0.22144516316491547
75.5,80.41627818829154,4.9162781882915425
82.67,81.59446391851083,1.075536081489176
81.83,82.16871998516056,0.3387199851605658
83.0,83.68622081209791,0.6862208120979147
81.08,81.52173229194379,0.4417322919437936
86.0,84.30445754156509,1.6955424584349146
83.17,82.35818150614288,0.8118184938571176
83.17,83.05960755900877,0.1103924409912338
82.92,82.96672114870927,0.04672114870926691
85.17,82.98510228809386,2.184897711906146
80.67,83.00826335857145,2.338263358571453
84.75,82.17877600644684,2.5712239935531613
84.0,82.39020208775896,1.609797912241035
80.75,82.80031393019,2.0503139301900006
80.58,81.89899983835933,1.318999838359332
74.0,79.18937658373781,5.189376583737811
82.25,82.21491270856446,0.0350872914355449
82.0,81.80247144273322,0.19752855726677865
82.33,81.97579690017224,0.3542030998277568
84.67,83.09341207700867,1.5765879229913367
83.42,83.3970621754979,0.02293782450210813
83.83,83.4700679018991,0.35993209810089866
82.08,80.82248097489331,1.2575190251066886
80.58,83.1156314140918,2.535631414091796
83.17,82.85324706725767,0.3167529327423324
79.75,80.93090520676691,1.1809052067669086
80.25,80.47568498647173,0.22568498647173385
80.92,81.758949747414,0.8389497474139915
80.0,81.0020370117279,1.002037011727893
79.42,80.91417529424709,1.4941752942470856
86.58,82.92493909784787,3.6550609021521296
82.83,81.95545982786207,0.8745401721379267
83.0,82.56199796995661,0.43800203004339266
