Model,MAE,RMSE,R2,MAPE,Time_sec
SVR,1.3958089747992066,1.855811036916595,0.2857878040665208,0.017143730669840138,0.06833434104919434
CatBoost,1.421123188071144,1.8623455004008178,0.2807493493364276,0.01738316831324014,0.46719932556152344
LinearRegression,1.4277939311475776,1.8748007998674385,0.27109653330787853,0.017481819799652243,0.029725313186645508
Voting_Ensemble,1.4519367663619906,1.9177286625274383,0.23733454736865067,0.01775677458996525,1.0189576148986816
XGBoost,1.4647252267690805,1.934978673435979,0.2235524552181105,0.017921704605583302,0.1284046173095703
GradientBoosting,1.4719292076089503,1.9316650932257908,0.22620945430839334,0.0179970535765886,0.37389397621154785
RandomForest,1.4882368215508621,1.9554292532410638,0.20705334505316741,0.01819356696157185,0.6163759231567383
