Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial,Cluster
Arabica,kabum trading company,Uganda,kapchorwa eastern,100,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12,0,Green,1,1950.0,Premium (Arabica),Heritage KAB,0
Arabica,bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,"May 18th, 2017",Caturra,Washed / Wet,8.17,8.08,8.08,8.0,8.08,8.0,8.25,86.67,0.1,0,Green,3,1400.0,Media (Arabica),Zenith BIS,0
Arabica,"lin, che-hao krude 林哲豪",Taiwan,"leye, alishan township, chiayi county",20,50 kg,Specialty Coffee Association,"May 18th, 2016",Sumatra,Pulped Natural / Honey,8.0,8.0,8.0,8.25,8.0,8.17,8.17,86.58,0.0,0,Green,0,1200.0,Media (Arabica),Private Reserve LIN,0
Arabica,nora zeas,Nicaragua,Other,275,6,Specialty Coffee Association,"May 18th, 2010",Caturra,Washed / Wet,7.92,8.25,8.0,8.33,8.0,8.08,8.0,86.58,0.08,0,Green,2,1100.0,Media (Arabica),Equinox NOR,0
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",Other,100,60 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Other,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,8.17,86.5,0.11,0,Blue-Green,1,1600.0,Alta (Arabica),Horizon SPE,0
Arabica,nucoffee,Brazil,vale da grama,29,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,8.0,86.42,0.12,0,Green,2,1300.0,Media (Arabica),Zenith NUC,0
Arabica,francisco a mena,Costa Rica,west and central valley,250,2 lbs,Specialty Coffee Association of Costa Rica,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,8.42,86.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica),Private Reserve FRA,0
Arabica,hider abamecha,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,"March 27th, 2015",Other,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,8.08,86.25,0.1,0,Green,3,1775.0,Alta (Arabica),Legacy HID,0
Arabica,daniel magu,Kenya,muranga,320,1 kg,Kenya Coffee Traders Association,"May 30th, 2014",SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,8.08,86.25,0.12,0,Blue-Green,1,1800.0,Premium (Arabica),Zenith DAN,0
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,10,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,8.33,86.25,0.0,1,Blue-Green,4,157.93516800000003,Baja (Arabica),Limited Edition KON,0
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,25,100 lbs,Specialty Coffee Association,"January 28th, 2011",Hawaiian Kona,Natural / Dry,8.25,8.42,8.08,7.75,7.67,7.83,8.25,86.25,0.0,2,Blue-Green,1,157.93516800000003,Baja (Arabica),Limited Edition KON,0
Arabica,ethiopia commodity exchange,Ethiopia,yirgacheffe,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1,0,Green,2,1800.0,Premium (Arabica),Golden Bean ETH,0
Arabica,cqi q coffee sample representative,United States,antioquia,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,8.08,86.17,0.0,0,Other,0,1941.0,Premium (Arabica),Grand Cru CQI,0
Arabica,itdp international,Thailand,chiang rai,53,1 kg,Specialty Coffee Association,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,8.42,86.17,0.1,1,Green,9,1300.0,Media (Arabica),Select Harvest ITD,0
