PC1 (Intensidad/Calidad),PC2 (Balance/Matices),Cluster
8.406550309430353,-0.37504214762194643,0
7.773030906832216,-0.5563975997251213,0
6.736255815884967,0.03204129838504087,0
6.556025958290781,0.7257223689336143,0
6.428982365677401,0.517837194256871,0
6.720111131025275,-0.5168633713670333,0
6.422025156713853,-0.30041163095109014,0
6.502903300019061,0.521070748579735,0
7.458504556693409,-0.5940974428037683,0
5.763348361251256,-0.9191238332026167,0
5.491399534676084,-1.129793391636367,0
5.387400238000933,-0.31878124215656906,0
5.601413066633051,-0.44799119282982075,0
5.297205747845826,-0.19360706162031652,0
6.907757727269327,1.35656623501018,0
5.4130872618999195,0.13507330869128328,0
4.961639517689223,1.0071560867728404,0
5.901932948968852,0.8094759783610656,0
4.660902946943734,-1.0252169724563036,0
4.745598373598674,0.19298714751402957,0
4.9864785401304434,0.508231132738548,0
4.633978505262212,0.13604521364947653,0
4.3363469701807045,-0.5796651664782142,0
4.748073813001129,-0.8179773788870155,0
4.892954858051329,0.012651399689511744,0
4.872498502458811,-1.0943381705675908,0
4.462174609993647,0.8694037575474495,0
4.459906553523993,-1.2763828074016947,0
4.133939584214331,-0.02499968024028037,0
4.128913316542516,0.2863799793186848,0
4.346042248452543,0.20158266459290003,0
4.016628234787584,-1.7570869916117533,0
4.138840100405311,-0.8498200521779646,0
3.488681675441637,-0.45996458166922766,0
3.820548055232932,0.41267070858428595,0
3.831635143296138,-0.27636878012311866,0
3.5343962113363334,-0.39102484835744106,0
3.625559724080276,-1.4410724847499903,0
3.7026726822239278,0.7958037351268432,0
3.748487166908682,1.2031802772757014,0
3.2955389811247056,-0.7385012104595721,0
3.744618463423853,0.735577690266617,0
3.6166042685312965,-0.7309311498596331,0
3.201973577035485,-0.7679855495319561,0
3.6926199143195206,-0.34525962343013566,0
3.6987623636707823,-1.0470553009727073,0
3.520939744025718,0.14954252902397094,0
3.4022533376549884,1.0814004654683624,0
3.4074037464905214,-1.056824989246972,0
3.7212900291696975,-0.3561466124454527,0
3.7276249015269967,0.583026311021251,0
3.408351559712969,-1.2448077632754895,0
3.5310207222127534,0.33628469968799707,0
3.533936142598025,-0.863273685458547,0
3.610435372215925,-0.24342924450571793,0
3.399253964485375,-0.20933749406075944,0
3.4216945266321175,0.4053355716309765,0
3.402466313327932,0.09146950939810289,0
3.400400957583157,-0.3882619480373192,0
3.3085056807030195,0.33663401387315783,0
3.324456736766066,-0.23390840351736975,0
5.052415097713708,-0.523422217400748,0
3.1176020690792403,-0.47286075999985205,0
3.1952987722935258,0.5324135671315369,0
3.106103186360184,0.7740991850616757,0
3.1237426604580887,0.13909078079625034,0
2.9940178734573903,-0.05568237312147114,0
2.973823606205361,0.2452855376331921,0
2.8900370984278796,-1.172794609589298,0
3.1819495863574536,-0.10617093561364838,0
2.7948458415529283,0.4465109574924401,0
2.898791641238167,-0.01950000425590386,0
2.591782399243431,-0.19471404023869107,0
