k_clusters,inercia_codo,puntaje_silueta
2,4482.570708403556,0.35782827829999214
3,3378.1309354127916,0.30336064047312894
4,2889.287742367543,0.25129582885172613
5,2601.904656967177,0.2196289733470446
6,2424.3683719927003,0.18548572200473132
7,2298.194667139542,0.1706456723299095
8,2197.3031343079997,0.15705805837186887
9,2106.1150011826217,0.1626345191460588
10,2029.7469876663574,0.15701321679191094
