Cluster,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
0,7.8837254901960785,7.894771241830066,7.785130718954249,7.8955882352941185,7.830326797385621,7.893954248366014
1,7.576198581560284,7.5436595744680845,7.421872340425532,7.528851063829787,7.516553191489362,7.540269503546099
2,7.230409556313994,7.091945392491468,6.962901023890785,7.192627986348123,7.222389078498293,7.097883959044368
3,7.7025,7.630714285714285,7.559642857142856,7.6571428571428575,7.506785714285714,7.541785714285714
