Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,8.33,87.17,0.11,0,Green,2,1300.0,Media (Arabica),Origins THE
Arabica,roberto licona franco,Mexico,Other,14,1 kg,AMECAFE,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,8.58,87.17,0.13,0,Green,0,1320.0,Media (Arabica),Origins ROB
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,8.17,87.08,0.0,0,Other,0,2112.0,Premium (Arabica),Mill CQI
Arabica,ji-ae ahn,Ethiopia,sidamo,100,60 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Other,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,8.08,87.08,0.11,0,Blue-Green,1,1800.0,Premium (Arabica),Mill JI-
Arabica,nucoffee,Brazil,south of minas,3,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,7.92,86.92,0.12,0,Green,2,1250.0,Media (Arabica),Heritage NUC
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,150,6,Ethiopia Commodity Exchange,"June 16th, 2010",Other,Natural / Dry,7.83,8.25,8.08,8.17,8.17,8.17,8.25,86.92,0.05,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH
Arabica,kabum trading company,Uganda,Other,100,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12,0,Green,1,1950.0,Premium (Arabica),Origins KAB
Arabica,bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,"May 18th, 2017",Caturra,Washed / Wet,8.17,8.08,8.08,8.0,8.08,8.0,8.25,86.67,0.1,0,Green,3,1400.0,Media (Arabica),Heritage BIS
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,20,50 kg,Specialty Coffee Association,"May 18th, 2016",Other,Pulped Natural / Honey,8.0,8.0,8.0,8.25,8.0,8.17,8.17,86.58,0.0,0,Green,0,1200.0,Media (Arabica),Heritage LIN
Arabica,nora zeas,Nicaragua,Other,275,6,Specialty Coffee Association,"May 18th, 2010",Caturra,Washed / Wet,7.92,8.25,8.0,8.33,8.0,8.08,8.0,86.58,0.08,0,Green,2,1100.0,Media (Arabica),Mill NOR
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",Other,100,60 kg,Specialty Coffee Institute of Asia,"September 3rd, 2013",Other,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,8.17,86.5,0.11,0,Blue-Green,1,1600.0,Alta (Arabica),Private Reserve SPE
Arabica,nucoffee,Brazil,Other,29,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,8.0,86.42,0.12,0,Green,2,1300.0,Media (Arabica),Heritage NUC
Arabica,francisco a mena,Costa Rica,Other,250,2 lbs,Specialty Coffee Association of Costa Rica,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,8.42,86.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica),Heritage FRA
Arabica,hider abamecha,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 27th, 2015",Other,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,8.08,86.25,0.1,0,Green,3,1775.0,Alta (Arabica),Select Harvest HID
Arabica,daniel magu,Kenya,Other,320,1 kg,Kenya Coffee Traders Association,"May 30th, 2014",Other,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,8.08,86.25,0.12,0,Blue-Green,1,1800.0,Premium (Arabica),Heritage DAN
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,10,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,8.33,86.25,0.0,1,Blue-Green,4,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,25,100 lbs,Specialty Coffee Association,"January 28th, 2011",Hawaiian Kona,Natural / Dry,8.25,8.42,8.08,7.75,7.67,7.83,8.25,86.25,0.0,2,Blue-Green,1,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH
Arabica,cqi q coffee sample representative,Other,Other,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,8.08,86.17,0.0,0,Other,0,1941.0,Premium (Arabica),Mill CQI
Arabica,itdp international,Thailand,Other,53,1 kg,Specialty Coffee Association,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,8.42,86.17,0.1,1,Green,9,1300.0,Media (Arabica),Mill ITD
Arabica,jacques pereira carneiro,Brazil,Other,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.17,7.92,7.92,7.75,8.33,8.0,8.08,86.17,0.08,0,Green,2,12.0,Baja (Arabica),Select Harvest JAC
Arabica,jacques pereira carneiro,Brazil,Other,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.42,7.92,8.0,7.75,7.92,8.0,8.17,86.17,0.01,0,Green,3,12.0,Baja (Arabica),Select Harvest JAC
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,10,15 kg,Specialty Coffee Association,"June 10th, 2015",Bourbon,Semi-Washed / Semi-Pulped,8.08,8.17,7.75,8.08,7.75,7.83,8.42,86.08,0.12,0,Green,0,1000.0,Media (Arabica),Heritage LIN
Arabica,jungle estate,Kenya,Other,12,60 kg,Kenya Coffee Traders Association,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,8.0,86.08,0.11,0,Blue-Green,2,1754.0,Alta (Arabica),Private Reserve JUN
Arabica,nucoffee,Brazil,south of minas,7,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.33,8.0,8.0,8.0,7.75,8.0,8.0,86.08,0.11,0,Blue-Green,2,1250.0,Media (Arabica),Heritage NUC
Arabica,great lakes coffee uganda,Uganda,Other,1,60 kg,Uganda Coffee Development Authority,"October 1st, 2014",SL14,Semi-Washed / Semi-Pulped,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86.0,0.0,0,Green,0,1675.0,Alta (Arabica),Mill GRE
Arabica,lusso lab,Colombia,Other,1,2 kg,Specialty Coffee Association,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,8.17,86.0,0.12,1,Green,1,1200.0,Media (Arabica),Mill LUS
Arabica,lusso lab,Kenya,Other,1,1 kg,Specialty Coffee Association,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86.0,0.11,0,Green,1,1860.0,Premium (Arabica),Mill LUS
Arabica,afca,Uganda,Other,1,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,7.92,86.0,0.1,0,Blue-Green,0,1650.0,Alta (Arabica),Private Reserve AFC
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.75,8.08,8.0,8.25,8.0,8.0,7.92,86.0,0.01,0,Green,4,1750.0,Alta (Arabica),Select Harvest ETH
Arabica,grounds for health admin,United States (Hawaii),kona,1,2,Specialty Coffee Association,"May 31st, 2010",Hawaiian Kona,Natural / Dry,8.33,8.17,7.75,8.0,7.75,7.83,8.17,86.0,0.0,0,Blue-Green,0,130.06425600000003,Baja (Arabica),Mill GRO
Arabica,juan luis alvarado romero,Guatemala,Other,80,69 kg,Asociacion Nacional Del Café,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,8.0,85.92,0.1,0,Green,3,431.999136,Baja (Arabica),Mill JUA
Arabica,kawacom uganda ltd,Uganda,Other,1,60 kg,Uganda Coffee Development Authority,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,8.0,85.92,0.12,0,Green,0,1650.0,Alta (Arabica),Mill KAW
Arabica,exportadora de cafe condor s.a,Colombia,huila,275,70 kg,Almacafé,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,7.92,85.92,0.0,1,Blue-Green,0,1800.0,Premium (Arabica),Heritage EXP
Arabica,gonzalo hernandez,Other,Other,37,60 kg,Specialty Coffee Association of Costa Rica,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,8.0,85.83,0.08,0,Blue-Green,0,1600.0,Alta (Arabica),Heritage GON
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"April 4th, 2015",Other,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,8.0,85.83,0.1,0,Green,4,1900.0,Premium (Arabica),Origins IBR
Arabica,juan luis alvarado romero,Guatemala,Other,150,1 kg,Asociacion Nacional Del Café,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,8.0,85.83,0.12,0,Green,3,464.5152000000001,Baja (Arabica),Mill JUA
Arabica,juan luis alvarado romero,Guatemala,Other,275,1 kg,Asociacion Nacional Del Café,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,8.0,85.83,0.1,0,Blue-Green,1,431.999136,Baja (Arabica),Mill JUA
Arabica,seid damtew coffee planataion,Ethiopia,Other,320,19200 kg,METAD Agricultural Development plc,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,8.0,85.75,0.09,0,Green,7,1800.0,Premium (Arabica),Origins SEI
Arabica,dane loraas,Peru,Other,280,5 lbs,Specialty Coffee Association,"January 22nd, 2014",Caturra,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,8.0,85.75,0.1,4,Green,6,1300.0,Media (Arabica),Heritage DAN
Arabica,"colbran coffeelands, ltd.",Other,Other,7,60 kg,Specialty Coffee Association,"October 25th, 2012",Other,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,7.92,85.75,0.12,0,Blue-Green,1,1700.0,Alta (Arabica),Select Harvest COL
Arabica,atlantic specialty coffee,El Salvador,Other,275,2 kg,Specialty Coffee Association,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,8.0,85.58,0.1,0,Blue-Green,3,1500.0,Alta (Arabica),Select Harvest ATL
Arabica,lusso lab,El Salvador,Other,19,1 kg,Specialty Coffee Association,"January 12th, 2013",Bourbon,Semi-Washed / Semi-Pulped,7.83,8.0,8.0,7.75,7.92,8.17,7.92,85.58,0.11,0,Green,0,1350.0,Media (Arabica),Mill LUS
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,8.0,85.58,0.0,0,Blue-Green,1,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,essencecoffee,Other,Other,100,60 kg,Blossom Valley International,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,7.83,85.5,0.09,2,Green,2,1680.0,Alta (Arabica),Private Reserve ESS
Arabica,essencecoffee,Kenya,Other,16,60 kg,Blossom Valley International,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,8.0,85.5,0.1,0,Green,3,1900.0,Premium (Arabica),Private Reserve ESS
Arabica,assefa belay coffee producer,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,8.0,85.5,0.12,0,Green,7,1900.0,Premium (Arabica),Select Harvest ASS
Arabica,kyagalanyi ltd,Uganda,Other,320,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12,0,Green,1,1600.0,Alta (Arabica),Select Harvest KYA
Arabica,juan luis alvarado romero,Guatemala,huehuetenango,250,69 kg,Asociacion Nacional Del Café,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,7.83,85.5,0.11,0,Green,1,527.6892672,Baja (Arabica),Mill JUA
Arabica,assefa belay coffee producer,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1,0,Green,18,1900.0,Premium (Arabica),Select Harvest ASS
Arabica,great lakes coffee uganda,Uganda,Other,150,60 kg,Uganda Coffee Development Authority,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,8.0,85.42,0.12,0,Green,5,1950.0,Premium (Arabica),Mill GRE
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,8,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,8.25,85.42,0.0,4,Blue-Green,6,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,nucoffee,Brazil,south of minas,5,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.0,8.0,8.0,7.67,7.75,8.0,8.0,85.42,0.11,0,Blue-Green,1,1250.0,Media (Arabica),Heritage NUC
Arabica,grounds for health admin,El Salvador,Other,2,"1 kg,lbs",Specialty Coffee Association,"May 31st, 2010",Bourbon,Washed / Wet,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01,0,Green,0,1400.0,Media (Arabica),Mill GRO
Arabica,yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,7.92,85.33,0.1,0,Green,0,1700.0,Alta (Arabica),Private Reserve YUN
Arabica,essencecoffee,Guatemala,huehuetenango,36,30 kg,Blossom Valley International,"May 23rd, 2015",Other,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,7.83,85.33,0.11,0,Green,1,1770.0,Alta (Arabica),Private Reserve ESS
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,8.0,85.33,0.0,0,Blue-Green,0,1300.0,Media (Arabica),Origins THE
Arabica,the coffee source inc.,Costa Rica,Other,250,3 lbs,Specialty Coffee Association,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,7.92,85.33,0.1,0,Blue-Green,2,1300.0,Media (Arabica),Origins THE
Arabica,rashid moledina & co. (msa) ltd.,Kenya,Other,20,60 kg,Kenya Coffee Traders Association,"April 19th, 2013",Other,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0.0,0,Green,2,1600.0,Alta (Arabica),Mill RAS
Arabica,ibero kenya limited,Kenya,Other,300,60 kg,Kenya Coffee Traders Association,"March 12th, 2013",Other,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0.0,0,Green,6,1200.0,Media (Arabica),Heritage IBE
Arabica,ethiopia commodity exchange,Ethiopia,Other,360,6 kg,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.83,7.83,7.92,8.08,7.75,7.83,8.08,85.33,0.05,0,Green,2,1800.0,Premium (Arabica),Select Harvest ETH
Arabica,ethiopia commodity exchange,Ethiopia,Other,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Typica,Natural / Dry,7.92,7.83,7.75,8.33,7.75,7.75,8.0,85.33,0.1,0,Green,3,1800.0,Premium (Arabica),Select Harvest ETH
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"April 27th, 2016",Bourbon,Washed / Wet,8.0,7.92,7.75,8.0,7.92,7.83,7.83,85.25,0.1,0,Green,2,431.999136,Baja (Arabica),Mill JUA
Arabica,exportadora de cafe condor s.a,Colombia,santander,275,70 kg,Almacafé,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,7.92,85.25,0.11,0,Green,0,1550.0,Alta (Arabica),Heritage EXP
Arabica,compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,7.92,85.25,0.12,0,Green,2,1550.0,Alta (Arabica),Heritage COM
Arabica,"nomura trading co., ltd.",Indonesia,Other,54,60 kg,Specialty Coffee Association,"November 26th, 2012",Other,Semi-Washed / Semi-Pulped,7.75,7.83,7.67,8.0,8.08,7.83,8.0,85.17,0.11,0,Green,3,1325.0,Media (Arabica),Origins NOM
Arabica,the coffee source inc.,Guatemala,huehuetenango,250,1 kg,Specialty Coffee Association,"January 18th, 2012",Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,7.92,85.17,0.0,0,Green,7,1400.0,Media (Arabica),Origins THE
Arabica,seid damtew coffee planataion,Ethiopia,Other,320,19200 kg,METAD Agricultural Development plc,"August 9th, 2016",Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,7.83,85.08,0.11,0,Green,8,1800.0,Premium (Arabica),Origins SEI
Arabica,carcafe ltda ci,Colombia,Other,250,70 kg,Almacafé,"August 18th, 2015",Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,7.67,85.08,0.0,0,Green,0,2560.0,Premium (Arabica),Mill CAR
Arabica,steven kil,Ethiopia,Other,100,60 kg,Specialty Coffee Association,"October 7th, 2014",Other,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,8.08,85.08,0.1,2,Green,7,1700.0,Alta (Arabica),Private Reserve STE
Arabica,eileen koyanagi,United States (Hawaii),kona,12,100 lbs,Specialty Coffee Association,"March 10th, 2014",Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,7.92,85.08,0.11,2,Blue-Green,2,157.93516800000003,Baja (Arabica),Select Harvest EIL
Arabica,carcafe ltda ci,Colombia,cundinamarca,250,70 kg,Almacafé,"March 16th, 2012",Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,8.08,85.08,0.11,0,Green,8,2136.0,Premium (Arabica),Mill CAR
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,13,100 lbs,Specialty Coffee Association,"December 27th, 2010",Hawaiian Kona,Natural / Dry,8.08,8.17,7.92,8.0,8.08,8.0,8.17,85.08,0.01,1,Blue-Green,7,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,360,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.67,8.0,7.83,8.0,7.92,7.83,7.83,85.08,0.0,0,Green,5,1800.0,Premium (Arabica),Select Harvest ETH
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,27,0 lbs,Specialty Coffee Association,"May 17th, 2010",Hawaiian Kona,Natural / Dry,7.5,7.92,8.25,7.83,7.92,7.75,7.92,85.08,0.0,0,Blue-Green,0,157.93516800000003,Baja (Arabica),Private Reserve KON
Arabica,kyagalanyi coffee ltd,Uganda,Other,200,60 kg,Uganda Coffee Development Authority,"July 24th, 2017",SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,8.0,85.0,0.11,0,Green,1,1800.0,Premium (Arabica),Mill KYA
Arabica,racafe & cia s.c.a,Colombia,huila,135,70 kg,Almacafé,"February 15th, 2017",Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,7.83,85.0,0.0,0,Green,3,1750.0,Alta (Arabica),Heritage RAC
Arabica,troy quimby,Costa Rica,tarrazu,36,46 kg,Specialty Coffee Association,"January 30th, 2017",Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,7.92,85.0,0.12,1,Green,1,1900.0,Premium (Arabica),Private Reserve TRO
Arabica,"el equimite, cafetal biodinámico",Mexico,veracruz,1,30 kg,Centro Agroecológico del Café A.C.,"September 21st, 2016",Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,8.08,85.0,0.09,0,Green,3,1300.0,Media (Arabica),Origins EL 
Arabica,simon mahinda,Kenya,Other,170,60 kg,Kenya Coffee Traders Association,"May 7th, 2016",SL28,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,7.83,85.0,0.11,0,Green,7,1.0,Baja (Arabica),Private Reserve SIM
Arabica,rashid moledina & co. (msa) ltd.,Kenya,Other,38,60 kg,Kenya Coffee Traders Association,"April 19th, 2013",Other,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,7.83,85.0,0.0,0,Green,5,1580.0,Alta (Arabica),Mill RAS
