Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud
Arabica,daniel magu,Kenya,muranga,320,1 kg,Kenya Coffee Traders Association,"May 30th, 2014",SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,8.08,86.25,0.12,0,Blue-Green,1,1800.0,Premium (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,10,100 lbs,Specialty Coffee Association,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,8.33,86.25,0.0,1,Blue-Green,4,157.93516800000003,Baja (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,25,100 lbs,Specialty Coffee Association,"January 28th, 2011",Hawaiian Kona,Natural / Dry,8.25,8.42,8.08,7.75,7.67,7.83,8.25,86.25,0.0,2,Blue-Green,1,157.93516800000003,Baja (Arabica)
Arabica,ethiopia commodity exchange,Ethiopia,yirgacheffe,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1,0,Green,2,1800.0,Premium (Arabica)
Arabica,cqi q coffee sample representative,United States,antioquia,10,1 kg,Almacafé,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,8.08,86.17,0.0,0,Other,0,1941.0,Premium (Arabica)
Arabica,itdp international,Thailand,chiang rai,53,1 kg,Specialty Coffee Association,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,8.42,86.17,0.1,1,Green,9,1300.0,Media (Arabica)
Arabica,jacques pereira carneiro,Brazil,sul de minas - carmo de minas,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.17,7.92,7.92,7.75,8.33,8.0,8.08,86.17,0.08,0,Green,2,12.0,Baja (Arabica)
Arabica,jacques pereira carneiro,Brazil,sul de minas - carmo de minas,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.42,7.92,8.0,7.75,7.92,8.0,8.17,86.17,0.01,0,Green,3,12.0,Baja (Arabica)
Arabica,"lin, che-hao krude 林哲豪",Taiwan,natou county,10,15 kg,Specialty Coffee Association,"June 10th, 2015",Bourbon,Semi-Washed / Semi-Pulped,8.08,8.17,7.75,8.08,7.75,7.83,8.42,86.08,0.12,0,Green,0,1000.0,Media (Arabica)
Arabica,jungle estate,Kenya,nyeri,12,60 kg,Kenya Coffee Traders Association,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,8.0,86.08,0.11,0,Blue-Green,2,1754.0,Alta (Arabica)
