Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,CV_RMSE_Mean,CV_RMSE_Std
LinearRegression,0.283614843025582,2.3152188232973816,0.988232018752281,0.38410672934156265,1.6589652590246886,0.2476359835176659
Ridge,0.5081008100272891,1.6851751587476063,0.9622302743462269,0.6737042128259936,1.143562944795583,0.13594958913579425
Lasso,1.6243843887194824,2.101773937845557,0.6139694551789776,0.49243300443992155,1.6325943364742213,0.07737261604245559
DecisionTree,0.0,1.745491313462526,1.0,0.649928501764895,1.4562931001194028,0.05735717737960301
RandomForest,0.41648390412178327,1.5045687389494316,0.9746229871581706,0.7398969542918844,1.1051523621530943,0.10676378340115358
GradientBoosting,0.5532306578517024,1.5381319324679612,0.9552228411559438,0.7281630139225159,1.0661297433217942,0.11642181558176005
SVR,1.1732202713379893,1.8329247168227816,0.798626104096138,0.6139792724853901,1.356935900308875,0.11107726559600306
RandomForest_Optimized,1.5101461308919317,1.5101461308919317,0.7379649914130315,0.7379649914130315,0.0,0.0
GradientBoosting_Optimized,1.533349741707447,1.533349741707447,0.7298507175895819,0.7298507175895819,0.0,0.0
