DecisionTree,RandomForest,GradientBoosting,RandomForest_Optimized,GradientBoosting_Optimized
0.004713362823890922,0.005422365128024307,0.0028124928077248295,0.0046876977727366405,0.003964257572561385
0.014739983024683786,0.016024950369950188,0.026371426807174688,0.017137112238448274,0.02688835291052224
0.5665047816580624,0.4846082336334484,0.3911369146858453,0.48962346365376674,0.38567046143512457
0.04088512727435989,0.10982252373335288,0.10064948819431142,0.11101831609674283,0.10012815200482972
0.017652351246490644,0.022619054525914783,0.03561990818125628,0.022252941363488758,0.031375768229084625
0.004294735224470887,0.011552260129947377,0.01075895063070353,0.010770832835201484,0.01206898261671614
0.0753882224838468,0.1432461965683715,0.160695198649724,0.14421483397194032,0.16929851674813823
0.13871414286688177,0.10068392725106452,0.17231149006685506,0.10099873426652269,0.17393208135108007
0.001958705266722364,0.003975195776022681,0.0013618792545076481,0.0034378521484188813,0.0005073059343070631
0.0065632876235209555,0.004262974840668342,0.004670449831084982,0.004021490231393727,0.004168431890583223
0.003775377332808982,0.006774374041276445,0.004367125693389694,0.006270642202844094,0.0044525350655618655
0.010845820492969893,0.004752657591476089,0.0013961886403651676,0.0043617394184220235,0.0009242919285606667
0.0041285698107563,0.0034915243361073422,0.006123445183253793,0.003405758941920365,0.005598146789804209
0.0033660428241807437,0.0025847100146973406,0.009214044297652817,0.0026275358097073223,0.009633596306894027
0.0,4.279247366424293e-06,0.0,1.7470298228645993e-06,0.0
0.0,0.0,0.0,0.0,0.0
0.0,2.7710630258420817e-06,0.0,1.6275983708651274e-06,0.0
6.56298656754385e-07,6.948603460043672e-06,0.0,3.549831306603435e-06,0.0
0.0005253087696704301,0.0002197234141859473,0.0,0.00019960903055237964,0.0
0.0,0.0,0.0,0.0,0.0
9.926517183705414e-06,1.852011205690322e-05,0.0,1.926346372549246e-05,0.0
0.0,8.489009322286025e-08,0.0,0.0,0.0
0.0,7.839908588937364e-09,0.0,3.087357613872643e-07,0.0
0.0,9.444537193696715e-06,0.0,3.883173159573211e-06,3.6623995263918804e-05
0.0,0.0,0.0,7.0670833979041e-08,0.0
0.0,1.1805357976545444e-06,0.0,1.1426059648467891e-06,0.0
0.0,3.237233775184591e-07,0.0,8.295602101517212e-08,0.0
0.0,0.0010899404978746857,0.00014903275761402192,0.0010478012797044919,0.0009415887337439287
0.0,0.00019525022276787614,0.0,0.00011772012071260131,0.0
0.0,2.6375944604347696e-07,0.0,0.0,0.0
0.0,1.6722205080384126e-05,0.0,2.758592990387119e-07,0.0
0.0,4.927395797425916e-06,0.0,9.135646598049806e-07,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.9129251309443102e-07,0.0,5.558376613301023e-07,0.0
0.0,3.22336686008423e-07,0.0,0.0,0.0
0.0,1.8418626253771918e-06,0.0,1.4296359860082316e-06,0.0
0.0,1.2304759738709589e-05,0.0,2.4656048699107026e-05,0.0
0.0,9.497637352939455e-08,0.0,2.410865873627653e-08,0.0
0.0,2.5795079076423957e-05,0.0,1.8313683763290612e-05,0.0
0.0,4.703915276943743e-08,0.0,7.780000873932353e-08,0.0
0.0,6.753211660916415e-07,0.0,2.5032516393421486e-06,0.0
0.0,2.147692380515065e-06,0.0,4.4759238855344204e-07,0.0
5.537519922310808e-07,5.098380282810374e-06,0.0,3.0475863987600984e-06,0.0
0.0014551650889850231,0.00021711248317536605,0.0,0.0003235961804923182,0.0
3.84549994214445e-05,4.369603067944115e-05,0.0,0.00014882005003190765,0.0
0.0,0.0,0.0,0.0,0.0
0.0,2.3483338122128828e-08,0.0,0.0,0.0
0.0,8.531976972795324e-07,0.0,6.056650493077276e-08,0.0
0.0,1.83766545355934e-08,0.0,5.572622282969787e-07,0.0
0.0,1.5823619182184978e-07,0.0,1.45342563642533e-06,0.0
6.239394868467516e-06,0.0004725076567306377,0.0,0.0004792890484572784,0.0
0.0,2.172124801797245e-06,0.0,9.205682131817295e-07,0.0
1.281833314226391e-05,5.541509266868269e-05,0.0,0.00012681446839749497,0.0
0.0,1.4169212601066605e-06,0.0,5.100628570186009e-06,0.0
0.0,1.685549009472249e-05,0.0,1.6189511714999892e-06,0.0
5.537519916093099e-07,2.2727019540339292e-07,0.0,1.8759989187319627e-07,0.0
0.0,2.9983018960047426e-07,0.0,7.389241656615927e-07,0.0
0.0,7.060597478817563e-06,0.0,6.707410319185212e-06,0.0
1.783696693126301e-05,1.84166502298665e-05,0.0,1.193306863292065e-05,0.0
0.0,8.5966703351247e-07,0.0,3.825582372893641e-07,0.0
0.0,3.6623488594676324e-07,0.0,0.0,0.0
1.750129751510832e-06,6.163100158357483e-06,0.0,7.258130975659026e-06,0.0
0.0,2.4497601669923355e-06,0.0,4.475311287266451e-07,0.0
0.0,2.32481000214421e-06,0.0,1.3617687475440978e-06,0.0
0.0,1.630697033867106e-07,0.0,0.0,0.0
0.0,3.7006399814050294e-06,0.0,1.0475469055924747e-05,0.0
0.0,1.5455351576533532e-06,0.0,6.021412854280203e-07,0.0
4.588883835086141e-05,8.522478354509768e-06,0.0,4.062115847457958e-06,0.0
9.435432599133243e-06,2.1230943436348665e-05,0.0,1.8039179170190587e-05,3.1617102003993765e-05
0.0,1.5566016086089152e-07,0.0,0.0,0.0
0.0,4.0918001880861656e-08,0.0,2.4264715532933237e-06,0.0
6.657069065062104e-06,2.4335672762243524e-05,0.0,4.687909689089126e-06,0.0
0.0,1.7426938050593457e-07,0.0,1.5736964891921279e-07,0.0
0.0,2.007626597571713e-08,0.0,2.4409349873633717e-07,0.0
7.418016863870878e-05,9.029266699271335e-06,0.0,3.0358360178870903e-05,0.0
0.0,1.3159755510862031e-05,0.0,7.849604853622777e-06,0.0
0.0,1.1119193081822261e-07,0.0,0.0,0.0
0.0,3.7870579832394996e-07,0.0,4.376193402254542e-07,0.0
0.0,1.587123906722568e-08,0.0,0.0,0.0
0.0,3.9356573192920623e-07,0.0,0.0,0.0
0.0,1.6339257447594157e-08,0.0,0.0,0.0
0.0,4.6687552055746924e-07,0.0,3.8320413043698217e-07,0.0
0.0,0.0,0.0,0.0,0.0
0.0,3.819919170531863e-05,0.0,4.618372637248663e-05,0.0
0.0,2.7214957890799976e-06,0.0,3.030464957634171e-06,0.0
1.2059487818623492e-05,2.248697569786317e-05,0.0,1.7028662053816826e-05,0.0
0.0,1.99547415137057e-07,0.0,3.429250054073049e-08,0.0
0.0,1.2758851672263408e-06,0.0,1.0059054123436638e-06,0.0
0.0,1.3972564706476247e-06,0.0,0.0,0.0
0.0005187846744427459,0.000990192893434388,0.0020276511183217813,0.0008816327376425788,0.001181749579239528
0.0,4.526840039045943e-07,0.0,6.78225816756296e-07,0.0
0.0,9.544789402954364e-08,0.0,6.926228294677062e-08,0.0
6.238939105730179e-06,1.8494331547794628e-06,0.0,2.04717877474096e-06,0.0
0.0,1.9523046559199087e-06,0.0,5.467436682801765e-07,0.0
0.0,8.256950919975014e-08,0.0,0.0,0.0
1.22522104374271e-05,9.975334144307262e-06,0.0,4.786836096784128e-06,0.0
0.0,4.427083573232699e-06,0.0,3.7533511149681056e-06,0.0
4.37532437877708e-07,2.9690791824646085e-07,0.0,6.75701041981149e-07,0.0
0.0,4.445042909235378e-06,0.0,1.785982115885919e-06,0.0
0.0,9.932495142579356e-05,6.695467247704633e-05,8.593144164381408e-05,0.0
0.0,0.002155286108125769,0.0034392884809927447,0.0008943281155729965,0.003304155670296046
4.375324380020622e-07,0.00018377224345679253,0.0,1.1517865209034754e-05,0.0008865123326838559
7.180134373020002e-05,2.0084792453628464e-05,0.0,2.5822295048735614e-05,0.0
0.0,5.75782066665478e-06,0.0,5.868977560888808e-06,0.0
0.0,0.00015329564166625172,0.0,0.00012342507367786828,0.0
0.0,6.614507458052914e-07,0.0,3.149234404989991e-07,0.0
0.0,3.5071544103022244e-07,0.0,0.0,0.0
0.0,7.644909514562324e-07,0.0,4.325358659229866e-07,0.0
3.6125355062779726e-05,7.201808469779016e-07,0.0,0.0,0.0
0.0,4.6415162607795155e-07,0.0,3.709303534009711e-08,0.0
0.0,1.6098756733470954e-05,1.1877297814767642e-07,0.0,3.5547222066257246e-05
0.0,7.5283051519704e-06,0.0,4.5987232580874155e-06,0.0
0.0,4.171922191846207e-06,0.00015181583789225064,9.491832255229452e-07,0.0001130352287513749
0.0,1.268253881145219e-06,0.0,9.371440254693741e-07,0.0
0.0,1.7611620881320523e-07,0.0,0.0,0.0
0.0,4.1221376484602195e-09,0.0,2.6354306132934703e-07,0.0
0.0,4.154343136662156e-07,0.0,9.334191842608851e-07,0.0
0.0,1.2759186053387213e-06,0.0,0.0,0.0
0.0,3.8273727514743534e-05,0.0,4.606093470305131e-05,0.0
0.0,8.786363101925681e-08,0.0,6.691475985707412e-07,0.0
0.0,5.0476430508246135e-06,0.0,5.026954053610782e-06,0.0
0.0,0.0,0.0,0.0,0.0
0.0,6.32818801925856e-07,0.0,0.0,0.0
0.0,1.1166219503111997e-06,0.0,0.0,0.0
0.0,6.252314747731656e-06,0.0,6.168361828092589e-06,0.0
1.709111085751252e-07,3.6428009625140844e-05,0.0,1.7661793608874277e-05,5.361212977808386e-08
0.0,2.064839224856612e-07,0.0,8.126985471790082e-07,0.0
0.0,6.524089266962473e-06,0.0,8.770409374557472e-06,0.0
0.0,3.287053997446561e-07,0.0,3.6401113384177485e-07,0.0
0.0,3.3229836090011234e-05,0.00016380839348424924,5.302992560484195e-05,0.00016393698528444195
0.0,8.878726981174686e-07,0.0,1.6174424144273811e-06,0.0
1.750129750889061e-06,3.5095099060780114e-07,0.0,0.0,0.0
0.0,3.971856696958029e-06,0.0,2.097214050412919e-06,0.0
0.008384674975651554,0.003622603356382493,0.007275621181740779,0.0022191822017998035,0.009069358594165725
0.0,4.374710815528319e-06,0.0,0.0,0.0
0.0,6.655106348264695e-07,0.0,3.08050425864406e-07,0.0
0.0,3.22598909620801e-08,0.0,1.1436112286387892e-07,0.0
0.0,1.5585675043121143e-07,0.0,0.0,0.0
0.0,0.0001099923600111045,0.00012537561454060113,5.2354571387699254e-05,0.0
0.0,8.756118632517214e-05,0.0,7.498227549318991e-05,0.0
0.0,5.165707148594791e-07,0.0,0.0,0.0
0.0,4.579384490390873e-06,0.0,7.585929680840511e-08,0.0
0.0,7.041585241018947e-18,0.0,0.0,0.0
0.0,3.015611877315085e-06,0.0,1.2655176500807405e-06,0.0
0.0,9.115538306337601e-05,0.0,0.00010532972095418598,0.0
0.0017160321220772198,0.00022236581256891304,6.199272918318903e-05,7.661368047740307e-05,4.347157241494678e-06
0.0,7.443928011028269e-06,0.0,0.0,0.0
0.0,1.7004951923413508e-08,0.0,0.0,0.0
0.0,8.065521332327739e-07,0.0,3.1248165133361796e-07,0.0
0.0,6.069325367737304e-06,0.0,4.627888125393842e-06,0.0
0.0,1.2956484152241043e-06,0.00010976051957983953,9.946713736793359e-07,0.000230011209348023
0.0,4.942795753155113e-08,0.0,0.0,0.0
4.01982927353772e-06,2.112966919961368e-06,0.0,2.928649183285641e-06,0.0
0.0,7.902007675686299e-07,0.0,0.0,0.0
0.0,0.00036515849470833574,0.0,0.000491381730435075,0.0
0.0,4.668233173717588e-07,0.0,0.0,0.0
0.0,2.9153289631285813e-06,0.0,0.0,0.0
0.009588796845726586,0.001201837507581008,0.0031548329647986774,0.000945035005248571,0.0027132283434144725
0.0,4.044282327654849e-07,0.0,2.066894984849729e-07,0.0
0.0,9.40703326328391e-07,0.0,9.428578602646543e-07,0.0
4.628774158106273e-05,0.0002816007407647453,0.0,0.00028203600212699573,0.0
0.0,5.8349240485615234e-05,0.0,7.997739174673601e-05,0.0
0.0,6.424647455280618e-08,0.0,0.0,0.0
1.312597313633124e-06,1.938458889052062e-06,0.0,1.94971669544154e-06,0.0
7.461251889194217e-16,3.6061172004676505e-08,0.0,2.324249902881112e-07,0.0
0.0,5.605960293213189e-07,0.0,0.0,0.0
0.0,1.7760824024230543e-07,0.0,1.0504735831812051e-07,0.0
0.0,9.282295317421292e-07,0.0,5.647799711029015e-07,0.0
0.0,5.061792403514718e-07,0.0,0.0,0.0
0.0,4.0440290382478326e-08,0.0,0.0,0.0
0.0004639644841495334,3.6001964731623434e-05,0.0,7.172331076038164e-05,0.0
0.0,0.000386027346332957,0.0,0.00027290940088870255,0.0
0.0,2.0378275528333675e-08,0.0,0.0,0.0
0.005212843514978703,0.004895211571585921,0.011380430520892527,0.005492375153388891,0.011564140644576991
0.0,4.042194489116213e-07,0.0,1.0607838440788174e-06,0.0
0.0,4.916736701880248e-07,0.0,7.174383469910411e-07,0.0
0.0,1.353238642366332e-08,0.0,7.835587671428689e-07,0.0
0.0,3.386283400611432e-07,0.0,0.0,0.0
0.0,6.717385434084465e-05,0.0,3.4541558375656246e-05,0.0
0.0,0.00015116736349691127,0.0,8.810918906691639e-05,0.0
0.0002938112054255215,4.0954747703346884e-05,0.0,0.00012081797711214654,0.0
0.0,2.2945762423758208e-07,0.0,4.810431903630081e-06,0.0
0.0,2.979528106857504e-05,0.0,7.604780850630155e-05,0.0
0.0,1.654311409152211e-05,0.0,1.6572205268635958e-05,0.0
0.0,3.30521720324711e-07,0.0,7.189044680839129e-07,0.0
0.0,6.514903583801102e-07,0.0,3.0350691627455907e-06,0.0
0.0,1.0255140942069189e-05,0.0,5.364679346951213e-06,0.0
0.0,3.962477342010001e-07,0.0,8.981439116599862e-08,0.0
0.0,4.00781125767275e-06,0.0,6.653718827666616e-07,0.0
0.0,1.7952064644314958e-07,0.0,1.4196398521065054e-07,0.0
0.0,8.276126371436273e-06,0.0,8.927545901155397e-06,0.0
0.0,3.158517489324478e-07,0.0,0.0,0.0
0.0,2.3339156600668977e-06,0.0,0.0,0.0
4.375324380020622e-07,1.6438388564165743e-07,0.0,0.0,0.0
0.0,3.939369271364753e-07,0.0,3.403345442250712e-07,0.0
0.0,7.787707827858627e-07,0.0,0.0,0.0
0.0,3.205815979837344e-08,0.0,8.346851186859477e-09,0.0
0.0,3.086374763193031e-05,0.0,2.7574339187059062e-05,0.0
0.0,1.0336135456609898e-05,0.0,1.349574407859454e-05,0.0
0.0,1.360504389243831e-07,0.0,5.599311357866193e-07,0.0
0.0,9.481566192797226e-07,0.0,4.745654040738374e-07,0.0
0.0,2.3837785420049322e-07,0.0,0.0,0.0
0.0,9.040055936829079e-07,0.0,1.344609711161639e-06,0.0
0.0,5.53964165188463e-07,0.0,0.0,0.0
0.0,1.9946292360420955e-06,0.0,1.9138482865323242e-05,0.0
0.0,0.0003350660283150705,0.0,0.0002601044356476372,0.0
0.0,3.853788755059718e-05,0.0,0.0,0.0
0.0,5.647232483522205e-05,0.0,0.00010726773843024757,0.0
0.0,2.3397112623998535e-07,0.0,9.719575781120328e-07,0.0
0.0,2.273616184880658e-08,0.0,0.0,0.0
0.0,5.478132653289716e-07,0.0,0.0,0.0
4.37532437877708e-07,1.468750615025458e-06,0.0,5.041242158709033e-07,0.0
0.0,2.6323316229428347e-05,3.627317390713302e-05,4.5125601655190884e-05,3.0156703953937406e-05
0.0,3.2497270511916324e-05,0.0,2.3319355437614103e-05,0.0
